Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
Regular HS,No Cyano 3,Day 4 Replicate #1,0.073,4,1,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 4,Day 4 Replicate #1,0.174,4,1,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 5,Day 4 Replicate #1,0.109,4,1,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 6,Day 4 Replicate #1,0.089,4,1,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 7,Day 4 Replicate #1,0.084,4,1,No Cyano,Regular HS + No Cyano,4
No Glucose,No Cyano 1,Day 4 Replicate #2,0.068,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,Filtered Cyano 1,Day 4 Replicate #2,0.235,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,No Cyano 2,Day 4 Replicate #2,0.055,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 3,Day 4 Replicate #2,0.05,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 4,Day 4 Replicate #2,0.055,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,Filtered Cyano 2,Day 4 Replicate #2,0.111,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 3,Day 4 Replicate #2,0.123,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 4,Day 4 Replicate #2,0.111,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 5,Day 4 Replicate #2,0.058,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 6,Day 4 Replicate #2,0.106,4,2,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,No Cyano 5,Day 4 Replicate #2,0.116,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 6,Day 4 Replicate #2,0.11,4,2,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 7,Day 4 Replicate #2,0.079,4,2,No Cyano,No Glucose + No Cyano,4
Regular HS,No Cyano 1,Day 4 Replicate #2,0.124,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 2,Day 4 Replicate #2,0.12,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 3,Day 4 Replicate #2,0.07,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 4,Day 4 Replicate #2,0.174,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 5,Day 4 Replicate #2,0.11,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 6,Day 4 Replicate #2,0.088,4,2,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 7,Day 4 Replicate #2,0.099,4,2,No Cyano,Regular HS + No Cyano,4
No Glucose,No Cyano 2,Day 5 Replicate #1,0.055,5,1,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 3,Day 5 Replicate #1,0.053,5,1,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 4,Day 5 Replicate #1,0.052,5,1,No Cyano,No Glucose + No Cyano,5
No Glucose,Filtered Cyano 2,Day 5 Replicate #1,0.105,5,1,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 3,Day 5 Replicate #1,0.1,5,1,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 4,Day 5 Replicate #1,0.087,5,1,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 5,Day 5 Replicate #1,0.04,5,1,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 6,Day 5 Replicate #1,0.076,5,1,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,No Cyano 5,Day 5 Replicate #1,0.094,5,1,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 6,Day 5 Replicate #1,0.074,5,1,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 7,Day 5 Replicate #1,0.08,5,1,No Cyano,No Glucose + No Cyano,5
Regular HS,No Cyano 2,Day 5 Replicate #1,0.113,5,1,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 3,Day 5 Replicate #1,0.063,5,1,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 4,Day 5 Replicate #1,0.172,5,1,No Cyano,Regular HS + No Cyano,5
